admit,gre,gpa,rank
0,129,3.207604312,1
1,229,0.937747155,2
0,451,0.589920196,3
0,76,2.298570075,1
0,678,0.961807534,3
1,183,1.746902957,3
1,5,3.339824966,3
1,290,2.250358378,1
0,699,3.794749963,1
1,504,2.928753755,2
1,630,1.772331035,1
0,613,3.882493854,1
0,714,1.890868568,3
1,382,1.828281951,2
1,431,1.445303557,1
1,612,1.212583629,2
0,416,1.318607026,3
1,726,3.04264119,2
1,535,3.601101674,3
0,109,0.161045346,3
1,15,1.728194894,2
1,159,3.730486058,1
0,769,3.692972799,1
1,617,2.553637225,3
1,630,3.707457717,3
0,729,2.140507841,2
1,334,3.524290224,1
0,510,1.91530141,3
1,794,2.194113888,2
1,262,2.967015999,1
1,492,0.754322781,3
1,523,2.305398496,3
1,469,3.389609698,1
1,551,2.851377789,1
1,5,3.403954349,0
0,384,2.434843486,0
1,212,3.221196634,0
1,721,3.569638882,2
1,164,1.438920498,1
0,327,3.658504927,4
0,641,1.776084941,2
1,109,2.835854606,1
1,694,3.663652985,3
0,154,2.903946183,1
1,344,1.844630927,0
0,670,1.618041158,4
0,160,1.109201252,3
0,593,3.225950108,4
1,502,3.580511425,2
1,506,0.526057528,2
0,231,2.249113862,1
1,565,2.334164285,2
1,583,3.684463797,3
0,83,3.265842063,2
1,73,1.706609688,0
1,448,3.088485429,2
1,466,2.111661896,3
0,272,1.493780977,4
1,227,1.565980248,3
0,745,3.697579484,1
0,530,3.143387841,1
0,185,1.797035259,2
1,464,3.362353489,4
0,522,1.652705601,1
1,585,1.087523514,0
1,269,3.932085079,4
1,616,0.702457059,2
0,410,1.948717979,3
1,51,0.343541668,0
0,167,2.889597173,4
1,579,3.805403932,3
1,309,1.622109039,4
1,220,3.638742973,1
1,170,3.637852399,3
0,377,0.075910491,3
0,490,1.382846342,4
1,364,0.183329401,3
1,391,1.187961465,2
1,561,2.028880839,2
0,24,3.264084263,2
0,735,1.987583351,2
0,665,3.003040252,1
1,66,2.795321763,1
0,504,1.729598963,1
1,312,1.803739665,3
1,373,2.276197523,3
1,251,1.218078944,2
1,779,1.734813408,1
1,577,0.802131222,1
1,24,3.406657753,4
0,275,2.667396407,1
1,470,2.040635875,3
0,88,2.37288512,0
1,308,2.757616576,3
1,268,2.618513477,1
0,553,3.477714824,3
1,321,1.355030611,3
0,214,0.763540781,1
0,608,0.290813381,3
0,587,0.438100886,4
0,449,0.726191599,2
0,232,3.080356486,4
0,474,0.876707457,2
0,299,0.465754096,3
0,154,1.887476608,1
0,3,2.273324419,1
1,436,0.413629943,1
1,161,2.896846523,4
1,24,2.93936707,3
0,616,0.098556146,3
0,66,2.674222716,1
1,242,0.755085,3
1,217,2.992842633,2
1,639,2.529703349,3
0,697,2.6321309,3
1,427,2.299144266,2
0,450,3.755733148,1
1,760,3.269095212,2
1,379,3.453923055,3
1,239,3.21247454,2
0,90,0.868696911,1
1,503,0.932593618,1
0,431,3.429360082,1
0,6,1.803136833,4
1,539,0.562876986,0
0,296,3.899745147,2
0,646,1.227993846,4
0,474,3.267347988,3
0,271,3.286386755,3
0,600,1.639276963,1
0,494,3.285606904,1
1,76,1.264826272,4
1,198,1.62972973,3
1,367,1.209656584,1
0,772,3.440594624,1
